Entity,Continent,Average temperature per year,Hospital beds per 1000 people,Medical doctors per 1000 people,GDP/Capita,Population,Median age,Population aged 65 and over (%),Date,Daily tests,Cases,Deaths,Daily cases,Daily deaths,Season
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-06-04,282.0,1197.0,33.0,13,0,Summer
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-06-05,162.0,1212.0,33.0,15,0,Summer
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-06-06,253.0,1232.0,34.0,20,1,Summer
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-06-07,193.0,1246.0,34.0,14,0,Summer
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-06-08,102.0,1263.0,34.0,17,0,Summer
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-06-09,359.0,1299.0,34.0,36,0,Summer
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-06-10,311.0,1341.0,34.0,42,0,Summer
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-06-11,291.0,1385.0,35.0,44,1,Summer
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-06-12,300.0,1416.0,36.0,31,1,Summer
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-06-13,270.0,1464.0,36.0,48,0,Summer
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-06-14,362.0,1521.0,36.0,57,0,Summer
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-06-15,319.0,1590.0,36.0,69,0,Summer
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-06-16,364.0,1672.0,37.0,82,1,Summer
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-06-17,333.0,1722.0,38.0,50,1,Summer
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-06-18,280.0,1788.0,39.0,66,1,Summer
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-06-19,330.0,1838.0,42.0,50,3,Summer
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-06-20,320.0,1891.0,43.0,53,1,Summer
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-06-21,327.0,1962.0,44.0,71,1,Summer
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-06-22,239.0,1995.0,44.0,33,0,Summer
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-06-23,328.0,2047.0,45.0,52,1,Summer
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-06-24,347.0,2114.0,47.0,67,2,Summer
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-06-25,344.0,2192.0,49.0,78,2,Summer
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-06-26,402.0,2269.0,51.0,77,2,Summer
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-06-27,355.0,2330.0,53.0,61,2,Summer
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-06-28,374.0,2402.0,55.0,72,2,Summer
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-06-29,371.0,2466.0,58.0,64,3,Summer
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-06-30,371.0,2535.0,62.0,69,4,Summer
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-07-01,269.0,2580.0,65.0,45,3,Summer
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-07-02,368.0,2662.0,69.0,82,4,Summer
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-07-03,362.0,2752.0,72.0,90,3,Summer
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-07-04,376.0,2819.0,74.0,67,2,Summer
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-07-05,392.0,2893.0,76.0,74,2,Summer
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-07-06,459.0,2964.0,79.0,71,3,Summer
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-07-07,409.0,3038.0,81.0,74,2,Summer
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-07-08,397.0,3106.0,83.0,68,2,Summer
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-07-09,401.0,3188.0,83.0,82,0,Summer
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-07-10,420.0,3278.0,85.0,90,2,Summer
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-07-11,420.0,3371.0,89.0,93,4,Summer
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-07-12,420.0,3454.0,93.0,83,4,Summer
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-07-13,585.0,3571.0,95.0,117,2,Summer
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-07-14,451.0,3667.0,97.0,96,2,Summer
